SpaceX,40371,165,www.spacex.com,"Hawthorne, CA",Aerospace & Defense,Aerospace & Defense,,5001 to 10000 employees,https://grnh.se/22ded5ba2us
Carvana,750603,57,www.carvana.com,"Phoenix, AZ",Retail,Other Retail Stores,Unknown / Non-Applicable per year,1001 to 5000 employees,https://grnh.se/c93030591us
Cruise,977351,54,www.getcruise.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,1001 to 5000 employees,https://grnh.se/370c95701us
Roku,26760,52,www.roku.com,"Los Gatos, CA",Information Technology,IT Services,$500 million to $1 billion (USD) per year,1001 to 5000 employees,https://grnh.se/fc05a2621us
Instacart,714486,35,www.instacart.com/store,"San Francisco, CA",Information Technology,Internet,,501 to 1000 employees,https://grnh.se/85c5cc5d1us
Tencent,38281,30,www.tencent.com,"Shenzhen, China",Media,Motion Picture Production & Distribution,$5 to $10 billion (USD) per year,10000+ employees,https://grnh.se/a6a75b762us
Denali Therapeutics,1447071,27,www.denalitherapeutics.com,"South San Francisco, CA",,,Less than $1 million (USD) per year,51 to 200 employees,https://grnh.se/d3c0c3811us
Iterable,1107653,27,www.iterable.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/d3c62b7a1us
ServiceTitan,969695,27,www.servicetitan.com,"Glendale, CA",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/ef1e87841us
Myovant Sciences,1930854,26,www.myovant.com,"Brisbane, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/5e2926b82us
HelloFresh,998728,25,www.hellofreshgroup.com,"Berlin, Germany",Consumer Services,"Health, Beauty, & Fitness",Unknown / Non-Applicable,1001 to 5000 employees,https://grnh.se/4cd6e48c1us
HOVER,511477,25,www.hover.to,"San Francisco, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/1ebea8aa1us
Spin,1838792,25,www.spin.pm,"San Francisco, CA",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/e2746ae62us
Stitch Fix,783817,25,www.stitchfix.com,"San Francisco, CA",Retail,Other Retail Stores,$500 million to $1 billion (USD) per year,5001 to 10000 employees,https://grnh.se/48dbdb041us
Snowflake,928471,24,www.snowflake.net,"San Mateo, CA",Information Technology,Enterprise Software & Network Solutions,,1001 to 5000 employees,https://grnh.se/22187ecd2us
Romeo Power,1616966,23,www.romeopower.com,"Vernon, CA",Manufacturing,Electrical & Electronic Manufacturing,,51 to 200 employees,https://grnh.se/2a1356582us
Celonis,1307503,20,www.celonis.com,"Munich, Germany",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/86a06b493us
Unqork,2100426,20,www.unqork.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/b54c23de2us
Waymo,1635890,20,www.waymo.com,"Mountain View, CA",Information Technology,Computer Hardware & Software,,Unknown,https://grnh.se/2572e27c1us
Weber Shandwick,14342,20,www.webershandwick.com,"New York, NY",Business Services,Advertising & Marketing,,1001 to 5000 employees,https://grnh.se/530c9a0a2us
Chan Zuckerberg Initiative,1735421,19,www.chanzuckerberg.com,"Redwood City, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/dd14ec401us
DoubleVerify,379389,19,www.doubleverify.com,"New York, NY",Information Technology,Internet,,201 to 500 employees,https://grnh.se/53b8beda2us
Virgin Hyperloop One,1137909,19,www.hyperloop-one.com,"Los Angeles, CA",Transportation & Logistics,Transportation Management,,51 to 200 employees,https://grnh.se/b2924c101us
Bark,976184,18,www.bark.co,"New York, NY",Retail,Pet & Pet Supplies Stores,,201 to 500 employees,https://grnh.se/f7fc1a331us
Flexport,1011163,18,www.flexport.com,"San Francisco, CA",Transportation & Logistics,Logistics & Supply Chain,,1001 to 5000 employees,https://grnh.se/b995acb01us
Nuro,1550693,18,www.nuro.ai,"Mountain View, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/e432840c1us
Velodyne Lidar,1279112,18,www.velodynelidar.com,"San Jose, CA",Manufacturing,Electrical & Electronic Manufacturing,,201 to 500 employees,https://grnh.se/ed673ce91us
Crunchyroll,282440,17,www.crunchyroll.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/9430e9ec1us
East Harlem Tutorial Program,658495,17,www.ehtp.org,"New York, NY",Education,K-12 Education,,51 to 200 employees,https://grnh.se/9310fe471us
Notion Labs,3304926,17,www.notion.so,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,"",1 to 50 employees,https://grnh.se/105ec5aa3us
Workboard,733639,17,www.workboard.com,"Redwood City, CA",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/84a925492us
C3.ai,312703,16,www.c3iot.com,"Redwood City, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/b96737bd2
Hudson River Trading,470937,16,www.hudson-trading.com,"New York, NY",Finance,Financial Analytics & Research,,201 to 500 employees,https://grnh.se/b9d571501
Checkr,985716,15,www.checkr.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/9b134bef1us
Faire,1869758,15,www.faire.com,"San Francisco, CA",Business Services,Wholesale,,201 to 500 employees,https://grnh.se/276574aa2us
IXL Learning,326423,15,www.ixl.com,"San Mateo, CA",Education,K-12 Education,"",201 to 500 employees,https://grnh.se/03801b522us
Okta,444756,15,www.okta.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,Unknown / Non-Applicable per year,501 to 1000 employees,https://grnh.se/b5d859151us
Premise Data Corporation,952471,15,www.premise.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,"",51 to 200 employees,https://grnh.se/6606feaf1us
SimilarWeb,995824,15,www.similarweb.com,"Tel Aviv-Yafo, Israel",Information Technology,Internet,,201 to 500 employees,https://grnh.se/9486202a1us
Take-Two,7413,15,www.take2games.com,"New York, NY",Media,Video Games,$1 to $2 billion (USD) per year,1001 to 5000 employees,https://grnh.se/17e2491e1us
Wunderman Thompson,2949002,15,www.wundermanthompson.com,"New York, NY",Business Services,Advertising & Marketing,Unknown / Non-Applicable per year,10000+ employees,https://grnh.se/2b2539d02
Zymergen,983945,15,www.zymergen.com,"Emeryville, CA",,,,201 to 500 employees,https://grnh.se/b1f56d461us
Benchling,1291069,14,www.benchling.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/6bb228c11us
